repository, v1, Insecure_Randomness1, Privilege_Violation1, Access_Control1, Password_Management1, Empty_Password1, Hard_Coded_Password1, Password_inConfig1, Weak_Cryptography1, Privacy_Violation1, General1, NA1, v2, Insecure_Randomness2, Privilege_Violation2, Access_Control2, Password_Management2, Empty_Password2, Hard_Coded_Password2, Password_inConfig2, Weak_Cryptography2, Privacy_Violation2, General2, NA2
repository, v1, Insecure_Randomness1, Privilege_Violation1, Access_Control1, Password_Management1, Empty_Password1, Hard_Coded_Password1, Password_inConfig1, Weak_Cryptography1, Privacy_Violation1, General1, NA1, v2, Insecure_Randomness2, Privilege_Violation2, Access_Control2, Password_Management2, Empty_Password2, Hard_Coded_Password2, Password_inConfig2, Weak_Cryptography2, Privacy_Violation2, General2, NA2
repository, v1, Insecure_Randomness1, Privilege_Violation1, Access_Control1, Password_Management1, Empty_Password1, Hard_Coded_Password1, Password_inConfig1, Weak_Cryptography1, Privacy_Violation1, General1, NA1, v2, Insecure_Randomness2, Privilege_Violation2, Access_Control2, Password_Management2, Empty_Password2, Hard_Coded_Password2, Password_inConfig2, Weak_Cryptography2, Privacy_Violation2, General2, NA2
ALPSCore/ALPSCore, 7969b6a9174f8ea6f07c4b35966d4769607112a8, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, d9b0adf670321d3a2dc232eb75ef766d5fcf030c, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Andersbakken/rtags, 005e5569366b519850f0ae5b78f618f4d67d8785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b5bb19291a8e3331d2f5ee0c1a77fc5922e21607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
BenHanson/lexertl, 3215fe45c1c49298abd59f9f215ddd05792f50b0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3e4d2381c3acf712a6130f96ae4fc29217548c97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Bertram25/ValyriaTear, 97fceb85691e90dd8788221bdb8b9132c24c6148, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99cc26a8c76d05d9bdc82fe9213e5fd39050d218, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ChaiScript/ChaiScript, 064a385a645c89c8b958b754f0d5e8399b9b6df9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DGtal-team/DGtal, 06bf04a64ace2cf4fceb8aae2a66ca27897848a2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Deltafire/Milkytracker, 56bf091a0e8c5242e160d37f2974f3e1e2525821, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, dda125b03eabc7371965030edd62c3201fe79f2b, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Eyescale/Collage, f320324f091b81c3ec5a26ed16ffc5c0fb49da29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 919ca72b1d74171c1759d3c46b427f0f7c6732d9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
FreeCAD/FreeCAD_sf_master, e3d55841065cc22b32eda7ff53a648698c748562, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0ec1c40d255bee91c0a745457a4528b612f1fe10, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
GarageGames/Torque3D, 8684cd1a65084e52f76131d74520c2fa9e1904a1, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, cd686a23b3b39c18552c933f76bc6587fc5ce2f3, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
GollyGang/ready, f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6800b29d331505a8c94897a1565760dcc50c62ca, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
H-uru/Plasma, 76f136261c9bc88b3cb6e9e70e63f54e64bcd416, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, d382da0fe7823fe8c61949365c757a5bddd8182b, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
InsightSoftwareConsortium/ITK, 07cb23f9866768b5f4ee48ebec8766b6e19efc69, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35e3315e0248df1fa93ba4b0c90f4a49162d8abe, 31, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1
Itseez/opencv, c1007c7276e889f5f284702515a60b6799df9cd7, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, fd31234122a73e5585bccd9ca83cb2401967113f, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
